trail_name,osm_id,total_score,breakdown,distance_miles,surface,difficulty,highway_type,county,ref
Mountains-to-Sea Trail,98261216,82,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 2, 'named': 10, 'forest_service': 0}",9.436,ground,mountain_hiking,path,Unknown,nan
South Mills River Road,152547221,62,"{'surface': 20, 'difficulty': 15, 'trail_type': 15, 'length': 2, 'named': 10, 'forest_service': 0}",8.731,unpaved,grade4,path,Unknown,TR 133
Cove Mountain Trail,167431878,72,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 2, 'named': 10, 'forest_service': 0}",8.567,ground,unknown,path,Unknown,nan
Jarrett Creek Road,492139569,72,"{'surface': 25, 'difficulty': 5, 'trail_type': 20, 'length': 2, 'named': 10, 'forest_service': 10}",8.297,gravel,unknown,track,Unknown,FS 4030
Wayehutta Loop,1160894020,77,"{'surface': 40, 'difficulty': 5, 'trail_type': 20, 'length': 2, 'named': 10, 'forest_service': 0}",8.162,ground,unknown,track,Unknown,nan
Fletcher Creek Road,112927488,62,"{'surface': 25, 'difficulty': 5, 'trail_type': 20, 'length': 2, 'named': 10, 'forest_service': 0}",7.758,gravel,unknown,track,Unknown,nan
Lickstone Ridge Road,627923007,82,"{'surface': 25, 'difficulty': 25, 'trail_type': 20, 'length': 2, 'named': 10, 'forest_service': 0}",7.638,gravel,grade2,track,Unknown,nan
Mountains-to-Sea Trail,425618401,82,"{'surface': 40, 'difficulty': 15, 'trail_type': 15, 'length': 2, 'named': 10, 'forest_service': 0}",7.559,ground,mountain_hiking,path,Unknown,nan
Squirrel Gap,481473985,67,"{'surface': 35, 'difficulty': 5, 'trail_type': 15, 'length': 2, 'named': 10, 'forest_service': 0}",7.465,dirt,unknown,path,Unknown,147
Goshen Prong Trail,167432194,72,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 2, 'named': 10, 'forest_service': 0}",7.413,ground,unknown,path,Unknown,nan
Maddron Bald Trail,167432621,72,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 2, 'named': 10, 'forest_service': 0}",7.129,ground,unknown,path,Unknown,nan
Fork Mountain Trail,114815734,70,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 5, 'named': 10, 'forest_service': 0}",6.82,ground,unknown,footway,Unknown,nan
Bull Head Trail,167431777,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 5, 'named': 10, 'forest_service': 0}",6.221,ground,unknown,path,Unknown,nan
Laurel Mountain,152407167,75,"{'surface': 40, 'difficulty': 5, 'trail_type': 15, 'length': 5, 'named': 10, 'forest_service': 0}",6.202,ground,unknown,path,Unknown,121
Weed Patch Mountain Trail,584740355,70,"{'surface': 40, 'difficulty': 5, 'trail_type': 10, 'length': 5, 'named': 10, 'forest_service': 0}",6.115,ground,unknown,footway,Unknown,nan
