trail_name,osm_id,access,motor_vehicle,foot,bicycle,horse,highway,surface,tracktype,ref,tiger:county,sac_scale,has_private_access,has_private_motor_vehicle,has_any_restriction,access_category
Old Mitchell Toll Road,16417691,,private,designated,designated,no,track,,,,"McDowell, NC",,False,True,True,FOOT_ONLY
Old Mitchell Toll Road,16418489,,private,yes,no,no,track,ground,grade4,,"Buncombe, NC",,False,True,True,FOOT_ONLY
Rainbow Road,16419052,,private,designated,designated,no,path,ground,,,"Buncombe, NC",mountain_hiking,False,True,True,FOOT_ONLY
Trail 16420205,16420205,private,no,,no,no,path,ground,,,"Buncombe, NC",,True,False,True,PRIVATE
Trail 16421895,16421895,private,,,,,track,,grade4,,"Buncombe, NC",,True,False,True,PRIVATE
Trail 16421897,16421897,private,,,,,track,,grade4,,"Buncombe, NC",,True,False,True,PRIVATE
Trail 16421900,16421900,private,,,,,track,,grade4,,"Buncombe, NC",,True,False,True,PRIVATE
Trail 16421901,16421901,private,,,,,track,,grade4,,"Buncombe, NC",,True,False,True,PRIVATE
Trail 16423941,16423941,private,,designated,,,path,,,,"Buncombe, NC",,True,False,True,PRIVATE
Serenity Woods Lane,16423955,private,,,,,track,,grade3,,"Buncombe, NC",,True,False,True,PRIVATE
Appalachian Way,16424256,,private,designated,designated,no,track,gravel,,,"Buncombe, NC",,False,True,True,FOOT_ONLY
Old Mitchell Toll Road,16426960,,private,designated,designated,no,track,,,,"Buncombe, NC",,False,True,True,FOOT_ONLY
Old Mitchell Toll Road,16428286,,private,designated,designated,no,track,,,,"Buncombe, NC",,False,True,True,FOOT_ONLY
Old Trestle Road,16428461,,private,designated,designated,no,track,,,,"Buncombe, NC",,False,True,True,FOOT_ONLY
Rainbow Road,16430359,,private,designated,designated,no,path,ground,,,"Buncombe, NC",hiking,False,True,True,FOOT_ONLY
Quartz Mtn Trail,16435674,private,,,,,track,ground,grade2,,"Buncombe, NC",,True,False,True,PRIVATE
Quartz Mtn Trail,16435689,private,,,,,track,ground,grade4,,"Buncombe, NC",,True,False,True,PRIVATE
Trail 16586363,16586363,private,,,,,track,,,,"Haywood, NC",,True,False,True,PRIVATE
Trail 16586773,16586773,private,,,,,track,,grade3,,"Haywood, NC;Madison, NC",,True,False,True,PRIVATE
Trail 16587068,16587068,private,,,,,track,,grade3,,"Haywood, NC",,True,False,True,PRIVATE
Trail 16587164,16587164,private,,,,,track,,,,"Haywood, NC",,True,False,True,PRIVATE
Trail 16587729,16587729,private,,,,,track,,,,"Haywood, NC",,True,False,True,PRIVATE
Trail 16587769,16587769,private,,,,,track,,,,"Haywood, NC",,True,False,True,PRIVATE
Trail 16588788,16588788,private,,,,,track,,,,"Haywood, NC",,True,False,True,PRIVATE
Trail 16589519,16589519,private,,,,,track,,,,"Haywood, NC",,True,False,True,PRIVATE
Trail 16596856,16596856,private,,,,,track,,,,"Henderson, NC",,True,False,True,PRIVATE
Trail 16597013,16597013,private,,,,,track,,,,"Henderson, NC",,True,False,True,PRIVATE
Trail 16597112,16597112,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 16597401,16597401,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 16597610,16597610,private,,,,,track,,,,"Henderson, NC",,True,False,True,PRIVATE
Trail 16599054,16599054,private,,,,,track,,,,"Henderson, NC",,True,False,True,PRIVATE
Trail 16599898,16599898,private,,,,,track,,,,"Henderson, NC",,True,False,True,PRIVATE
Trail 16600170,16600170,private,,,,,track,,,,"Henderson, NC",,True,False,True,PRIVATE
Trail 16601389,16601389,private,,,,,track,,,,"Henderson, NC",,True,False,True,PRIVATE
Trail 16606008,16606008,private,,,,,track,,grade1,,,,True,False,True,PRIVATE
Trail 16619948,16619948,private,,,,,track,,,,"Jackson, NC",,True,False,True,PRIVATE
Trail 16619973,16619973,private,,,,,track,,,,"Jackson, NC",,True,False,True,PRIVATE
Birdymay Drive,16620364,private,,,,,track,,,,"Jackson, NC",,True,False,True,PRIVATE
Trail 16622269,16622269,private,,,,,track,,,,"Jackson, NC",,True,False,True,PRIVATE
Trail 16622349,16622349,private,,,,,track,unpaved,,,"Jackson, NC",,True,False,True,PRIVATE
Trail 16623733,16623733,private,,,,,track,,grade4,,"Jackson, NC",,True,False,True,PRIVATE
Baskins Lane,16629493,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 16632800,16632800,private,,,,,track,unpaved,,,,,True,False,True,PRIVATE
Old Mitchell Toll Road,16646063,,private,designated,designated,no,track,,,,"McDowell, NC",,False,True,True,FOOT_ONLY
Old Mitchell Toll Road,16646093,,private,designated,designated,no,track,,,,"McDowell, NC",,False,True,True,FOOT_ONLY
Old Mitchell Toll Road,16646176,,private,designated,designated,no,track,,,,"McDowell, NC",,False,True,True,FOOT_ONLY
Trail 16648981,16648981,private,,,,,track,,,,"McDowell, NC",,True,False,True,PRIVATE
Old Mitchell Toll Road,16649033,,private,designated,designated,no,track,,,,"McDowell, NC",,False,True,True,FOOT_ONLY
Trail 16649165,16649165,private,,,,,track,,grade4,,"Madison, NC",,True,False,True,PRIVATE
Old Mitchell Toll Road,16649235,,private,designated,designated,no,track,,,,"McDowell, NC",,False,True,True,FOOT_ONLY
Trail 16651662,16651662,private,,,,,track,,grade4,,"Madison, NC",,True,False,True,PRIVATE
Trail 16651989,16651989,private,,,,,track,,grade4,,"Madison, NC",,True,False,True,PRIVATE
Farmer Mountain Road,16654853,private,,,,,track,gravel,grade2,,"Madison, NC",,True,False,True,PRIVATE
Farmer Mountain Road,16656188,private,,,,,track,dirt,grade4,,"Madison, NC",,True,False,True,PRIVATE
Neal Barnett Road,16656816,,private,yes,yes,yes,track,unpaved,grade4,FS 3514,,,False,True,True,FOOT_ONLY
Viper Tower Road,16756850,no,private,no,no,no,track,gravel,grade2,,,,False,True,True,NO_MOTOR_VEHICLE
Trail 16780647,16780647,private,,,,,track,unpaved,,,"Transylvania, NC",,True,False,True,PRIVATE
Trail 16780793,16780793,private,,,,,track,,,,"Transylvania, NC",,True,False,True,PRIVATE
Trail 16780794,16780794,private,,,,,track,,,,"Transylvania, NC",,True,False,True,PRIVATE
Trail 16781400,16781400,private,,,,,track,,,,"Transylvania, NC",,True,False,True,PRIVATE
Trail 16781490,16781490,private,,,,,track,unpaved,grade2,,"Transylvania, NC",,True,False,True,PRIVATE
Trail 16782683,16782683,private,,,,,track,,,,"Transylvania, NC",,True,False,True,PRIVATE
Trail 18936605,18936605,private,,,,,track,,,,"Yancey, NC",,True,False,True,PRIVATE
Old Mitchell Toll Road,18939123,,private,designated,designated,no,track,,,,"Yancey, NC",,False,True,True,FOOT_ONLY
Wilson Boundary Road,18940034,private,,,,,track,ground,grade4,,"Yancey, NC",,True,False,True,PRIVATE
Trail 18940038,18940038,private,,,,,track,ground,grade4,,"Yancey, NC",,True,False,True,PRIVATE
Wilson Boundary Road,18940854,private,,,,,track,ground,grade4,,"Yancey, NC",,True,False,True,PRIVATE
Trail 19430970,19430970,private,,,,,track,,,,"Cocke, TN",,True,False,True,PRIVATE
Trail 19431158,19431158,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 19431752,19431752,private,,,,,track,,,,"Cocke, TN",,True,False,True,PRIVATE
Wicked Hill Road,19435906,private,,,,,track,,grade4,,"Cocke, TN",,True,False,True,PRIVATE
Trail 112927430,112927430,private,,,,,track,,,,,,True,False,True,PRIVATE
Exercise Building Road,112927463,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 112927474,112927474,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 114576859,114576859,private,,,,,track,,,,"McDowell, NC",,True,False,True,PRIVATE
Old Mitchell Toll Road,150639871,,private,designated,designated,no,track,,,,"McDowell, NC",,False,True,True,FOOT_ONLY
Crayton Road,159101077,private,,,,,track,,,,"Buncombe, NC",,True,False,True,PRIVATE
Thomas Cemetery Road,162972896,,private,yes,yes,yes,track,unpaved,grade4,,,,False,True,True,FOOT_ONLY
Boyd Branch Road,163002619,,private,yes,yes,yes,track,gravel,,FS 479F,"Buncombe, NC",,False,True,True,FOOT_ONLY
Rice Pinnacle Road,172852493,yes,private,yes,yes,yes,track,,,FS 491,,,False,True,True,FOOT_ONLY
Big Tom Wilson Toll Road,199226503,private,,,,,track,,grade4,,"Yancey, NC",,True,False,True,PRIVATE
Trail 225453261,225453261,private,,,,,footway,,,,,,True,False,True,PRIVATE
Trail 230774975,230774975,private,,,,,track,,grade3,,,,True,False,True,PRIVATE
Trail 230774998,230774998,private,,,,,track,,grade3,,,,True,False,True,PRIVATE
High Falls Picnic Shelter,265281648,,private,yes,yes,yes,path,,,,,,False,True,True,FOOT_ONLY
Trail 265282305,265282305,,private,yes,yes,yes,path,gravel,,,,,False,True,True,FOOT_ONLY
Trail 266756056,266756056,private,forestry,,,,track,gravel,grade2,,,,True,False,True,PRIVATE
Lake Imaging Road,267218295,,private,yes,yes,yes,track,gravel,grade2,,"Transylvania, NC",,False,True,True,FOOT_ONLY
Lake Imaging Road,267238360,,private,yes,yes,yes,track,gravel,grade3,,"Transylvania, NC",,False,True,True,FOOT_ONLY
Trail 267430889,267430889,private,,,no,no,track,asphalt,grade1,,,,True,False,True,PRIVATE
Trail 267430891,267430891,private,,,,,track,,grade1,,,,True,False,True,PRIVATE
Cold Mountain Road,268426713,private,,,,,track,,grade3,,"Transylvania, NC",,True,False,True,PRIVATE
Trail 271782267,271782267,yes,private,yes,yes,no,track,,grade1,,,,False,True,True,FOOT_ONLY
Trail 271782276,271782276,yes,private,yes,yes,no,track,,,,,,False,True,True,FOOT_ONLY
Trail 271796475,271796475,private,,,,,track,,grade1,,,,True,False,True,PRIVATE
Trail 271796477,271796477,private,,,,,track,,grade1,,,,True,False,True,PRIVATE
Wilson Boundary Road,274851180,private,,,,,track,ground,grade4,,"Yancey, NC",,True,False,True,PRIVATE
Trail 283467034,283467034,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 287546903,287546903,private,,,,,track,,grade1,,,,True,False,True,PRIVATE
Trail 287546960,287546960,private,,,,,track,,grade1,,,,True,False,True,PRIVATE
Bunyan Gap Trail,301583795,private,,,,,track,,,,,,True,False,True,PRIVATE
Cedar Creek Subdivision Road,301583797,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 312147901,312147901,permissive,private,,,,track,paved,grade1,,,,False,True,True,NO_MOTOR_VEHICLE
Trail 312147920,312147920,permissive,private,,,,track,asphalt,grade1,,,,False,True,True,NO_MOTOR_VEHICLE
Trail 314945454,314945454,private,,,,,path,concrete,,,,,True,False,True,PRIVATE
Casey Connector,335035691,private,,yes,no,no,footway,earth,,,,,True,False,True,PRIVATE
Sour Wood Court,348818169,private,,,,,track,asphalt,grade1,,,,True,False,True,PRIVATE
Crystal Falls Drive,354973668,private,,,,,track,,grade1,,,,True,False,True,PRIVATE
Trail 363761900,363761900,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 363769119,363769119,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 363769121,363769121,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 366164744,366164744,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 366164745,366164745,private,private,,,,path,,,,,,True,True,True,PRIVATE
Trail 366164747,366164747,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 366164748,366164748,private,private,,,,path,,,,,,True,True,True,PRIVATE
Old Mitchell Toll Road,374384283,,private,yes,no,no,track,ground,grade4,,"Buncombe, NC",,False,True,True,FOOT_ONLY
East Pine Mountain Road,404246407,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 404246410,404246410,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 410475882,410475882,private,,,,,path,dirt,,,,,True,False,True,PRIVATE
Trail 439437724,439437724,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 439437725,439437725,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 439437729,439437729,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 439437730,439437730,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 439437731,439437731,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 439437739,439437739,private,,,,,path,,,,,,True,False,True,PRIVATE
Deep Creek Trail,447301202,,private,yes,yes,yes,track,ground,grade2,,,,False,True,True,FOOT_ONLY
Trail 448826141,448826141,private,,,,,track,gravel,grade1,,,,True,False,True,PRIVATE
Trail 452768357,452768357,private,,,,,track,gravel,grade2,,"Henderson, NC",,True,False,True,PRIVATE
Old Beaverdam Creek Road,459017474,private,,,,,track,,,,"Buncombe, NC",,True,False,True,PRIVATE
private crossing,482926005,private,,,,,path,,,,,,True,False,True,PRIVATE
Trail 482926010,482926010,private,,,,,track,,,,,,True,False,True,PRIVATE
Trail 492181756,492181756,private,,,,,track,,,,,,True,False,True,PRIVATE
