name,osm_id,county,distance_miles,highway_type,surface,difficulty,ref,num_coordinates
Old Settlers Trail,167433321,Unknown,15.476,path,ground,unknown,,704
Shut-In Trail,98261238,Unknown,13.329,footway,ground,mountain_hiking,TR 345,900
Sugarland Mountain Trail,167434364,Unknown,11.732,path,ground,unknown,,514
Mountains-to-Sea Trail,98261216,Unknown,9.436,path,ground,mountain_hiking,,566
South Mills River Road,152547221,Unknown,8.731,path,unpaved,grade4,TR 133,590
Cove Mountain Trail,167431878,Unknown,8.567,path,ground,unknown,,469
Jarrett Creek Road,492139569,Unknown,8.297,track,gravel,unknown,FS 4030,782
Trail 757743646,757743646,Unknown,8.293,track,unknown,grade4,FS 3580,807
Wayehutta Loop,1160894020,Unknown,8.162,track,ground,unknown,,1050
Blaze Creek Road,275548320,Unknown,7.844,track,unknown,grade4,FS 7064,585
Fletcher Creek Road,112927488,Unknown,7.758,track,gravel,unknown,,731
Lickstone Ridge Road,627923007,Unknown,7.638,track,gravel,grade2,,196
Appalachian Trail,359902628,Unknown,7.576,path,unknown,unknown,,581
Mountains-to-Sea Trail,425618401,Unknown,7.559,path,ground,mountain_hiking,,338
Squirrel Gap,481473985,Unknown,7.465,path,dirt,unknown,147,483
Goshen Prong Trail,167432194,Unknown,7.413,path,ground,unknown,,290
Maddron Bald Trail,167432621,Unknown,7.129,path,ground,unknown,,334
Laurel Gap Trail,114715946,Unknown,7.022,path,grass,grade3,TR 184,593
Fork Mountain Trail,114815734,Unknown,6.82,footway,ground,unknown,,338
Bull Head Trail,167431777,Unknown,6.221,path,ground,unknown,,290
Laurel Mountain,152407167,Unknown,6.202,path,ground,unknown,121,319
Shad Road,395476759,Unknown,6.201,track,unknown,grade4,FS 422,640
Weed Patch Mountain Trail,584740355,Unknown,6.115,footway,ground,unknown,,621
Mountains-to-Sea Trail,663589372,Unknown,6.095,path,ground,mountain_hiking,,458
Trail 199226508,199226508,Unknown,6.086,track,ground,grade2,,749
Baxter Creek Trail,167431666,Unknown,5.946,path,ground,unknown,,286
Rainbow Falls Trail,167433880,Unknown,5.791,path,ground,unknown,,975
Mountains-to-Sea Trail,218911669,Unknown,5.758,path,ground,mountain_hiking,,205
Joel Branch Road,267284141,Unknown,5.707,track,unknown,grade4,FS 5002,668
Big Ivy Road,112873756,Buncombe,5.692,track,unknown,grade1,FS 74,488
Big Butt Trail,114715942,Unknown,5.628,path,unknown,unknown,TR 161,453
Mountains-to-Sea Trail,691999479,Unknown,5.624,path,unknown,mountain_hiking,,377
Art Loeb Trail,267283621,Unknown,5.598,path,ground,unknown,,417
Neverending Road,467780745,Unknown,5.558,track,gravel,unknown,FS 5097,459
Gabes Mountain Trail,167432179,Unknown,5.515,path,ground,unknown,,326
Long Arm Road,766780016,Unknown,5.464,track,unknown,grade2,FS 287,390
Wash Creek Road,112927468,Unknown,5.439,track,unpaved,grade1,FS 5000,305
Big Tom Wilson Toll Road,199226503,Yancey,5.438,track,unknown,grade4,,316
Avery Creek Road,231342205,Transylvania,5.429,track,gravel,grade2,FS 477,498
South Ridge Road,114869553,Unknown,5.405,track,gravel,grade3,FS 479M,572
Fed Fork Road,19436846,Cocke,5.259,track,unknown,grade2,FS 96-1,320
475C,267283620,Unknown,5.16,track,unpaved,grade3,FS 475C,425
Boulevard Trail,167431761,Unknown,5.146,path,ground,unknown,,220
Black Mountain Crest Trail,802337075,Unknown,5.02,path,unknown,demanding_mountain_hiking,TR 179,259
Paint Mountain Road,19486212,Greene,5.019,track,unknown,grade2,FS 54,325
Yellow Gap Road,265512581,Henderson,5.014,track,gravel,grade1,NFD 1206,369
Trail 1160805295,1160805295,Unknown,5.014,track,ground,unknown,FS 4652,398
Little Cataloochee Trail,167432567,Unknown,5.009,path,ground,unknown,,216
Fork Ridge Trail,167432151,Unknown,4.97,path,ground,unknown,,234
Golden Ridge Trail,666361537,Unknown,4.927,path,ground,unknown,TR 294,566
Catpen Road,735359006,Unknown,4.915,track,unknown,grade4,FS 3505,520
Moses Creek Road–Mysterious Cabin Loop,1160864035,Unknown,4.9,footway,gravel,unknown,,592
Alum Cave Trail,288576403,Unknown,4.852,path,ground,unknown,,797
Flint Mountain Trail,19646370,Unicoi,4.803,path,ground,unknown,,326
Barkers Creek,275504426,Unknown,4.788,track,unknown,grade2,FS 7062,426
Polecat Holler Road,498602370,Unknown,4.75,track,unknown,grade2,FS 468,805
Big Fill Road,19430106,Cocke,4.738,track,unknown,grade4,FS 403,428
Bradley Creek Trail,112927501,Unknown,4.707,path,ground,unknown,351,354
Mountains-to-Sea Trail,114815664,Unknown,4.661,path,ground,mountain_hiking,,651
Moses Creek Road,1160875813,Unknown,4.659,footway,gravel,unknown,,619
Davis Bald Road,275551342,Unknown,4.643,track,unknown,grade3,FS 7057,377
Trail 669412043,669412043,Unknown,4.643,track,unknown,grade4,,357
Art Loeb Trail,453604210,Unknown,4.629,path,ground,unknown,,821
Paint Mountain Trail,611634257,Unknown,4.628,path,ground,unknown,TR 7,314
Thomas Divide Trail,167434380,Unknown,4.608,path,ground,unknown,,218
Trail 16589043,16589043,Haywood,4.581,track,unknown,unknown,,177
Jerry Miller Trail,693048981,Unknown,4.513,path,ground,unknown,TR 286,257
Slate Rock Creek Trail,112927486,Unknown,4.448,path,ground,unknown,320,449
Trail 16618931,16618931,Jackson,4.429,track,unknown,unknown,,140
Art Loeb Trail,902808469,Unknown,4.429,path,ground,unknown,,295
North Boundary Road,162931586,Unknown,4.396,track,gravel,grade2,FS 485,302
Blockstand Creek Trail,791154286,Unknown,4.391,path,unknown,unknown,,352
Halls Top Road,759296739,Cocke,4.189,track,unknown,grade2,FS 207A,260
Appalachian Trail,30673774,Unknown,4.135,path,ground,unknown,TR 1-08,816
Mysterious Cabin Loop,1160808884,Unknown,4.101,footway,ground,unknown,,351
Sugar Creek Gap,16623433,Jackson,4.043,track,unknown,unknown,,268
Appalachian Trail,237614144,Unknown,4.033,path,ground,unknown,,448
Boogerman Trail,167431748,Unknown,3.984,path,ground,unknown,,225
Appalachian Trail,237582438,Unknown,3.958,path,ground,unknown,,218
Mill Creek Road,758152542,Cocke,3.95,track,unknown,unknown,FS 110,239
Longarm Trail,1146832298,Unknown,3.944,path,unknown,unknown,TR 1901,340
Bradley Creek Road,135895813,Unknown,3.939,track,unknown,unknown,FS 5015,250
Snook's Nose,410475879,Unknown,3.908,path,unknown,unknown,,300
Shining Creek Trail,114815722,Unknown,3.903,path,ground,unknown,FS 363,273
Rattlesnake Road,736348109,Unknown,3.901,track,unknown,unknown,FS 3242,285
Laurel Ridge Road,659194924,Henderson,3.888,track,gravel,grade2,,297
Trail 734309868,734309868,Unknown,3.874,track,gravel,grade2,FS 3548,216
Wildcat Rock Trail,783516701,Unknown,3.862,path,unknown,unknown,,661
Heartbreak Ridge,278087888,Unknown,3.843,path,unknown,unknown,,269
Ramsey Cascades Trail,279159542,Unknown,3.82,path,ground,unknown,,357
Art Loeb Trail,166036050,Unknown,3.815,path,ground,unknown,,221
Trail 766775014,766775014,Haywood,3.815,track,unpaved,grade2,FS 289,202
Bear Farm Road,356392644,Buncombe,3.793,track,unknown,unknown,,276
Forney Ridge Trail,167432169,Unknown,3.782,path,ground,unknown,,201
Connelly Creek Road,16776453,Unknown,3.761,track,unknown,grade2,FS 86,425
Smokemont Loop Trail,167434271,Unknown,3.76,path,ground,unknown,,197
Sam Smith Loop,1113392611,Jackson,3.754,track,ground,unknown,BIA-433,381
Lickstone Ridge Road,16602137,Unknown,3.737,track,gravel,grade2,FS 97,547
Mountains-to-Sea Trail,98261208,Unknown,3.72,path,unknown,mountain_hiking,,213
Searcy Creek Road,152918956,Unknown,3.695,track,unknown,grade4,FS 5095,415
Granny Lewis Road,19639635,Unicoi,3.692,track,unknown,grade2,FS 189,174
Trail 267559573,267559573,Unknown,3.689,track,ground,grade4,FS 140B,296
Hawksbill Creek Road,279466222,Unknown,3.672,track,unknown,grade4,FS 63A,323
Colbert Ridge Trail,388053898,Unknown,3.64,path,unknown,demanding_mountain_hiking,TR 178,197
North Slope Trail,449217435,Unknown,3.626,path,ground,unknown,359,270
Funneltop Mountail Trail,152673006,Unknown,3.619,track,unpaved,grade4,FS 5018,247
Neal Barnett Road,16656816,Unknown,3.612,track,unpaved,grade4,FS 3514,365
Wolf Mountain Road,16630779,Unknown,3.607,track,ground,unknown,,247
Sweat Heifer Creek Trail,167434371,Unknown,3.595,path,ground,unknown,,191
Point Lookout Trail,180655303,McDowell,3.59,path,asphalt,grade1,,363
Art Loeb Trail,98441969,Unknown,3.573,path,ground,unknown,,255
Kitsuma/Youngs Ridge Trail,333032293,Unknown,3.556,path,ground,mountain_hiking,TR206,474
Long Bunk Trail,167432585,Unknown,3.538,path,ground,unknown,,184
Trail 766780015,766780015,Unknown,3.485,track,unknown,grade2,FS 288,284
Old Butt Knob Trail,114815601,Unknown,3.468,path,ground,unknown,FS 332,415
Deep Creek Trail,991009472,Unknown,3.464,path,ground,hiking,,421
Little River Trail,167432581,Unknown,3.457,path,ground,unknown,,92
Reasonover Creek Trail,162973171,Unknown,3.454,path,unknown,unknown,,324
Trail 1160805297,1160805297,Unknown,3.454,track,ground,unknown,FS 4653,229
Appalachian Trail,237582434,Unknown,3.438,path,ground,unknown,,252
Forney Creek Trail,167432155,Unknown,3.434,path,unknown,unknown,,156
Trail 897975460,897975460,Unknown,3.424,track,unknown,grade4,FS 3530,452
Big East Fork Trail,114815726,Unknown,3.417,path,ground,unknown,FS 357,181
Clawhammer Road,152732190,Unknown,3.412,track,unknown,grade2,FS 5058,335
